State,Player,HS City,HS Name,Years,From,To,Games,Career_Min_Played,Career_FG,Career_FGA,Career_3P,Career_3PA,Career_FT,Career_FTA,Career_ORB,Career_TRB,Career_AST,Career_STL,Career_BLK,Career_Turnovers,Career_Personal_Fouls,Career_Points,Career_FG%,Career_3P%,Career_FT%,Min_Played_PG,Points_PG,TRB_PG,AST_PG,
Alabama,Michael Ansley,Birmingham,Jackson-Olin,3,1990,1992,149,2143,383,746,0,0,260,360,311,621,67,51,24,85,284,1026,0.513,,0.722,14.4,6.9,4.2,0.4,
Alabama,Keith Askins,Athens,Athens,9,1991,1999,486,7983,677,1688,275,774,223,311,525,1428,375,278,170,321,1094,1852,0.401,0.355,0.717,16.4,3.8,2.9,0.8,
Alabama,Carl Bailey,Birmingham,Jackson-Olin,1,1982,1982,1,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,,,7,2,0,0,
Alabama,Charles Barkley*,Leeds,Leeds,16,1985,2000,1073,39330,8435,15605,538,2020,6349,8643,4260,12546,4215,1648,888,3376,3287,23757,0.541,0.266,0.735,36.7,22.1,11.7,3.9,
Alabama,Eric Bledsoe,Birmingham,A.H. Parker,12,2011,2022,756,21021,3689,8169,854,2545,2116,2698,570,2937,3545,1028,344,1888,1493,10348,0.452,0.336,0.784,27.8,13.7,3.9,4.7,
Alabama,Tom Boswell,Montgomery,George Washington Carver,6,1976,1984,366,7046,1096,2058,6,11,623,860,676,1709,591,142,111,474,1102,2821,0.533,0.545,0.724,19.3,7.7,4.7,1.6,
Alabama,Jason Caffey,Mobile,Davidson,8,1996,2003,462,9045,1276,2652,0,8,816,1282,841,2022,420,209,110,647,1148,3368,0.481,0,0.637,19.6,7.3,4.4,0.9,
Alabama,DeMarre Carroll,Birmingham,John Carroll,11,2010,2020,578,13675,1806,4204,658,1839,880,1188,655,2454,726,524,151,498,1127,5150,0.43,0.358,0.741,23.7,8.9,4.2,1.3,
Alabama,Bobby Cattage,Huntsville,J.O. Johnson,2,1982,1986,78,522,88,218,1,7,65,85,37,107,11,13,0,31,81,242,0.404,0.143,0.765,6.7,3.1,1.4,0.1,
Alabama,Pete Chilcutt,Tuscaloosa,Tuscaloosa Academy,9,1992,2000,584,8394,1044,2368,188,494,218,313,663,1935,488,267,210,390,853,2494,0.441,0.381,0.696,14.4,4.3,3.3,0.8,
Alabama,DeMarcus Cousins,Mobile,LeFlore Magnet,11,2011,2022,654,19509,4562,9924,426,1288,3252,4411,1692,6664,1979,874,742,2149,2421,12802,0.46,0.331,0.737,29.8,19.6,10.2,3,
Alabama,John Douglas,Leighton,Colbert County,2,1982,1983,67,1043,182,395,19,61,69,104,27,91,147,48,9,92,147,452,0.461,0.311,0.663,15.6,6.7,1.4,2.2,
Alabama,Leon Douglas,Leighton,Colbert County,7,1977,1983,456,10111,1386,2798,0,4,815,1355,1045,2954,479,210,325,660,1631,3587,0.495,0,0.601,22.2,7.9,6.5,1.1,
Alabama,John Drew,Beatrice,J.F. Shields,11,1975,1985,739,21828,5481,11658,10,57,4319,5774,2158,5088,1224,1004,193,1402,2641,15291,0.47,0.175,0.748,29.5,20.7,6.9,1.7,
Alabama,T.R. Dunn,Birmingham,West End,14,1978,1991,993,23080,2030,4443,1,20,972,1341,1729,4371,1631,1316,252,815,2072,5033,0.457,0.05,0.725,23.2,5.1,4.4,1.6,
Alabama,Jim Farmer,Dothan,Houston Academy,5,1988,1994,136,1454,275,643,22,78,143,196,77,186,111,42,4,118,164,715,0.428,0.282,0.73,10.7,5.3,1.4,0.8,
Alabama,Artis Gilmore*,Dothan,Carver,17,1972,1988,1329,47134,9403,16158,3,20,6132,8790,4816,16330,3050,648,3178,3926,4529,24941,0.582,0.15,0.698,35.5,18.8,12.3,2.3,
Alabama,Mickell Gladness,Sylacauga,Sylacauga,1,2012,2012,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,,0.5,9.7,2.2,2.2,0.2,
