Year,Name,Contribution_Type,Inductee_Type,Games,Points_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,FG%,3P%,FT%,Games_Coached,Wins_Coached,Losses_Coached,Win_Loss
2024,Seimone Augustus ,WNBA / Int'l / CBB player,Player,,,,,,,,,,,,,
2024,Dick Barnett ,Player / Coach,Player,971,15.8,2.9,2.8,0.2,0,0.456,,0.761,,,,
2024,Chauncey Billups ,Player / Coach / Int'l / CBB player,Player,1043,15.2,2.9,5.4,1,0.2,0.415,0.387,0.894,,,,
2024,Vince Carter ,Player / Int'l / CBB player,Player,1541,16.7,4.3,3.1,1,0.6,0.435,0.371,0.798,,,,
2024,Doug Collins ,Player / Coach / Exec / Int'l / CBB player,Contributor,,,,,,,,,,,,,
2024,Michael Cooper ,Player / Coach / WNBA / CBB player / CBB coach,Player,873,8.9,3.2,4.2,1.2,0.6,0.469,,0.833,,,,
2024,Walter Davis ,Player / Int'l / CBB player,Player,1033,18.9,3,3.8,1.2,0.1,0.511,,0.851,,,,
2024,Harley Redin,,Coach,,,,,,,,,,,,,
2024,Bo Ryan ,CBB coach,Coach,,,,,,,,,,,,,
2024,Herb Simon,,Contributor,,,,,,,,,,,,,
2024,Charles Smith,,Coach,,,,,,,,,,,,,
2024,Michele Timms ,WNBA / Int'l,Player,,,,,,,,,,,,,
2024,Jerry West ,Player / Coach / Exec / Int'l / CBB player,Contributor,,,,,,,,,,,,,
2023,1976 Women's Olympic Team,,Team,,,,,,,,,,,,,
2023,Gene Bess,,Coach,,,,,,,,,,,,,
2023,Gary Blair ,CBB coach,Coach,,,,,,,,,,,,,
2023,Pau Gasol ,Player / Int'l,Player,1226,17,9.2,3.2,0.5,1.6,0.507,0.368,0.753,,,,
2023,Becky Hammon ,Coach / WNBA / Int'l,Player,,,,,,,,,,,,,
2023,David Hixon,,Coach,,,,,,,,,,,,,
2023,Gene Keady ,Coach / CBB coach,Coach,,,,,,,,,,,,,
2023,Dirk Nowitzki ,Player / Int'l,Player,1522,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,,,,
2023,Tony Parker ,Player / Int'l,Player,1254,15.5,2.7,5.6,0.8,0.1,0.491,0.324,0.751,,,,
2023,Gregg Popovich,Coach / Exec / CBB player,Coach,,,,,,,,,,2209,1388,821,0.628
2023,Jim Valvano ,CBB player / CBB coach,Contributor,,,,,,,,,,,,,
2023,Dwyane Wade ,Player / Int'l / CBB player,Player,1054,22,4.7,5.4,1.5,0.8,0.48,0.293,0.765,,,,
2022,Sonny Boswell,,Player,,,,,,,,,,,,,
2022,Swin Cash ,WNBA / CBB player,Player,,,,,,,,,,,,,
2022,Larry Costello ,Player / Coach / CBB player / CBB coach,Contributor,,,,,,,,,,,,,
2022,Hugh Evans,Ref,Referee,,,,,,,,,,,,,
2022,Manu Ginobili ,Player / Int'l,Player,1057,13.3,3.5,3.8,1.3,0.3,0.447,0.369,0.827,,,,
2022,Tim Hardaway ,Player / Coach / CBB player,Player,867,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,,,,
2022,Del Harris ,Coach / Exec,Contributor,,,,,,,,,,,,,
2022,Lou Hudson ,Player / CBB player,Player,890,20.2,4.4,2.7,1.4,0.3,0.489,,0.797,,,,
2022,Bob Huggins ,CBB player / CBB coach,Coach,,,,,,,,,,,,,
2022,Inman Jackson,,Player,,,,,,,,,,,,,
2022,George Karl ,Player / Coach / CBB player,Coach,,,,,,,,,,1999,1175,824,0.588
2022,Radivoj Korac Int'l,,Player,,,,,,,,,,,,,
2022,Albert Pullins,,Player,,,,,,,,,,,,,
2022,Theresa Shank-Grentz,CBB coach,Player,,,,,,,,,,,,,
2022,Marianne Stanley ,WNBA / CBB coach,Coach,,,,,,,,,,,,,
2022,Lindsay Whalen ,WNBA / CBB player / CBB coach,Player,,,,,,,,,,,,,
2021,Val Ackerman,,Contributor,,,,,,,,,,,,,
2021,Rick Adelman ,Player / Coach / CBB player,Coach,,,,,,,,,,1791,1042,749,0.582
2021,Chris Bosh ,Player / CBB player,Player,893,19.2,8.5,2,0.8,1,0.494,0.335,0.799,,,,
2021,Bob Dandridge ,Player,Player,839,18.5,6.8,3.4,1.3,0.6,0.484,,0.78,,,,
2021,Cotton Fitzsimmons ,Coach / CBB player,Contributor,,,,,,,,,,,,,
2021,Howard Garfinkel,,Contributor,,,,,,,,,,,,,
2021,Yolanda Griffith,WNBA,Player,,,,,,,,,,,,,
2021,Lauren Jackson ,WNBA,Player,,,,,,,,,,,,,
2021,Clarence Jenkins,,Player,,,,,,,,,,,,,
2021,Toni Kukoc ,Player / Int'l,Player,846,11.6,4.2,3.7,1,0.3,0.447,0.335,0.729,,,,
2021,Pearl Moore,,Player,,,,,,,,,,,,,
2021,Paul Pierce,Player / CBB player,Player,1343,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,,,,
2021,Bill Russell ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,631,341,290,0.54
2021,Ben Wallace ,Player,Player,1088,5.7,9.6,1.3,1.3,2,0.474,0.137,0.414,,,,
2021,Chris Webber ,Player / CBB player,Player,831,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,,,,
2021,Jay Wright ,CBB player / CBB coach,Coach,,,,,,,,,,,,,
2020,Patrick Baumann,,Contributor,,,,,,,,,,,,,
2020,Kobe Bryant ,Player / Oly,Player,1346,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,,,,
2020,Tamika Catchings ,WNBA,Player,,,,,,,,,,,,,
2020,Tim Duncan ,Player / Coach / Oly / CBB player,Player,1392,19,10.8,3,0.7,2.2,0.506,0.179,0.696,,,,
2020,Kevin Garnett ,Player / Oly,Player,1462,17.8,10,3.7,1.3,1.4,0.497,0.275,0.789,,,,
2020,Kim Mulkey ,CBB coach,Coach,,,,,,,,,,,,,
2020,Barbara Stevens ,CBB player / CBB coach,Coach,,,,,,,,,,,,,
2020,Eddie Sutton ,CBB player / CBB coach,Coach,,,,,,,,,,,,,
2020,Rudy Tomjanovich ,Player / Coach / Exec ,Coach,,,,,,,,,,943,527,416,0.559
2019,Tennessee A&I Teams Of 1957-59,,Team,,,,,,,,,,,,,
2019,Wayland Baptist University Teams Of 1948-82,,Team,,,,,,,,,,,,,
2019,Al Attles ,Player / Coach / Exec ,Contributor,,,,,,,,,,,,,
2019,Carl Braun ,Player / Coach,Player,788,13.5,3.4,3.7,,,0.383,,0.804,,,,
2019,Charles “Chuck” Cooper ,Player / CBB player,Player,409,6.7,5.9,1.8,,,0.339,,0.743,,,,
2019,Vlade Divac ,Player / Exec / Oly,Player,1134,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,,,,
2019,Bill Fitch ,Coach / Exec / CBB coach,Coach,,,,,,,,,,2050,944,1106,0.46
2019,Bobby Jones ,Player / Oly / CBB player,Player,941,12.1,6.1,2.7,1.5,1.4,0.56,,0.766,,,,
2019,Sidney Moncrief ,Player / Coach / CBB player / CBB coach,Player,767,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,,,,
2019,Jack Sikma ,Player / Coach,Player,1107,15.6,9.8,3.2,1,0.9,0.464,,0.849,,,,
2019,Teresa Weatherspoon ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2019,Paul Westphal ,Player / Coach / CBB player / CBB coach,Player,823,15.6,1.9,4.4,1.3,0.3,0.504,,0.82,,,,
2018,Ray Allen ,Player / Oly / CBB player,Player,1300,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,,,,
2018,Maurice Cheeks ,Player / Coach / CBB player,Player,1101,11.1,2.8,6.7,2.1,0.3,0.523,,0.793,,,,
2018,"Charles ""Lefty"" Driesell ",CBB player / CBB coach,Coach,,,,,,,,,,,,,
2018,Grant Hill ,Player / Oly / CBB player,Player,1026,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,,,,
2018,Jason Kidd ,Player / Coach / Oly / CBB player,Player,1391,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,,,,
2018,Steve Nash,Player / Oly / CBB player,Player,1217,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,,,,
