Player,Pos,Team,Selection_Type,Conference,Year
Bam Adebayo,C,Miami Heat,Eastern All-Star Coaches Selection,East,2023-2024
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2023-2024
Paolo Banchero,C,Orlando Magic,Eastern All-Star Coaches Selection,East,2023-2024
Scottie Barnes,SF,Toronto Raptors,Eastern All-Star Replacement Selection,East,2023-2024
Jaylen Brown,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2023-2024
Jalen Brunson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,2023-2024
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2023-2024
Tyrese Haliburton,PG,Indiana Pacers,Eastern All-Star Fan Vote Selection,East,2023-2024
Damian Lillard,SG,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2023-2024
Tyrese Maxey,PG,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2023-2024
Donovan Mitchell,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2023-2024
Julius Randle,PF,New York Knicks,Eastern All-Star Coaches Selection,East,2023-2024
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2023-2024
Trae Young,PG,Atlanta Hawks,Eastern All-Star Replacement Selection,East,2023-2024
Devin Booker,SG,Phoenix Suns,Western All-Star Coaches Selection,West,2023-2024
Stephen Curry,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2023-2024
Anthony Davis,PF,Los Angeles Lakers,Western All-Star Coaches Selection,West,2023-2024
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2023-2024
Kevin Durant,SF,Phoenix Suns,Western All-Star Fan Vote Selection,West,2023-2024
Anthony Edwards,SF,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2023-2024
Paul George,SF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2023-2024
Shai Gilgeous-Alexander,PG,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2023-2024
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2023-2024
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2023-2024
Kawhi Leonard,PF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2023-2024
Karl-Anthony Towns,C,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2023-2024
Jaylen Brown,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2022-2023
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2022-2023
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2022-2023
Anthony Edwards,SF,Minnesota Timberwolves,Western All-Star Replacement Selection,West,2022-2023
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2022-2023
DeAaron Fox,PG,Sacramento Kings,Western All-Star Replacement Selection,West,2022-2023
Paul George,SF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2022-2023
Tyrese Haliburton,PG,Indiana Pacers,Eastern All-Star Coaches Selection,East,2022-2023
Kyrie Irving,SG,Dallas Mavericks,Eastern All-Star Fan Vote Selection,East,2022-2023
Jaren Jackson Jr,PF,Memphis Grizzlies,Western All-Star Coaches Selection,West,2022-2023
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2022-2023
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2022-2023
Julius Randle,PF,New York Knicks,Eastern All-Star Coaches Selection,East,2022-2023
Zion Williamson,PF,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2022-2023
Bam Adebayo,C,Miami Heat,Eastern All-Star Coaches Selection,East,2022-2023
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2022-2023
